title,extended_title,img_link,gsmarena_link
Glam,"Emporia Glam phone. Announced Mar 2014. Features 2.4″  display, MT6260A chipset, 2 MP primary camera, 1020 mAh battery, 8 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg,https://www.gsmarena.com/emporia_glam-6264.php
Flip Basic,"Emporia Flip Basic phone. Announced Mar 2014. Features 2.4″  display, MT6260M chipset, 1020 mAh battery, 16 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg,https://www.gsmarena.com/emporia_flip_basic-6263.php
Eco,"Emporia Eco phone. Announced  2014. Features 2.2″  display, MT6260M chipset, 1020 mAh battery, 16 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg,https://www.gsmarena.com/emporia_eco-6262.php
Click Plus,"Emporia Click Plus phone. Announced  2014. Features 2.4″  display, QSC6240 chipset, 2 MP primary camera, 1000 mAh battery, 20 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg,https://www.gsmarena.com/emporia_click_plus-6261.php
Essence Plus,"Emporia Essence Plus phone. Announced  2012. Features 1.8″  display, Infineon PMB7880 chipset, 1000 mAh battery, 1 MB storage, 2 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg,https://www.gsmarena.com/emporia_essence_plus-6260.php
Solid Plus,"Emporia Solid Plus phone. Announced  2013. Features 1.8″  display, MT6223 chipset, 1750 mAh battery, 1 MB storage, 4 MB RAM, MIL-STD-810F compliant.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg,https://www.gsmarena.com/emporia_solid_plus-6231.php
Care Plus,"Emporia Care Plus phone. Announced  2013. Features 2.2″  display, MT6223 chipset, 1750 mAh battery, 1 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg,https://www.gsmarena.com/emporia_care_plus-6230.php
Elegance Plus,"Emporia Elegance Plus phone. Announced  2012. Features 1.8″  display, Infineon PMB7880 chipset, 1100 mAh battery, 1 MB storage, 2 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg,https://www.gsmarena.com/emporia_elegance_plus-6229.php
Elegance,"Emporia Elegance phone. Announced  2012. Features 1.8″  display, Infineon PMB7880 chipset, 1100 mAh battery, 1 MB storage, 2 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg,https://www.gsmarena.com/emporia_elegance-6259.php
Connect,"Emporia Connect phone. Announced  2012. Features 2.8″  display, QSC6270 chipset, 2 MP primary camera, 1150 mAh battery, 20 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg,https://www.gsmarena.com/emporia_connect-6228.php
Click,"Emporia Click phone. Announced  2011. Features 2.2″  display, MT6223 chipset, 1000 mAh battery, 2 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaclick.jpg,https://www.gsmarena.com/emporia_click-6226.php
Talk Comfort Plus,"Emporia Talk Comfort Plus phone. Announced  2013. Features 1.9″  display, Infineon PMB7900 chipset, 1000 mAh battery, 1 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfortplus.jpg,https://www.gsmarena.com/emporia_talk_comfort_plus-6258.php
Talk Comfort,"Emporia Talk Comfort phone. Announced  2011. Features 1.8″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfort.jpg,https://www.gsmarena.com/emporia_talk_comfort-6225.php
RL1,"Emporia RL1 phone. Announced  2011. Features 1.8″  display, 800 mAh battery, 8 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporia-rl1.jpg,https://www.gsmarena.com/emporia_rl1-6224.php
Talk Premium,"Emporia Talk Premium phone. Announced  2010. Features 2.0″  display, 1200 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKpremium1.jpg,https://www.gsmarena.com/emporia_talk_premium-6223.php
