title,extended_title,img_link,gsmarena_link
Minu P124,"Parla Minu P124 phone. Announced Nov 2015. Features 1.8″  display, 600 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/parla-minu-p124.jpg,https://www.gsmarena.com/parla_minu_p124-7916.php
Sonic 3.5S,"Parla Sonic 3.5S Android smartphone. Announced Jun 2015. Features 3.5″  display, Spreadtrum 7715 chipset, 2 MP primary camera, 1300 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-35s.jpg,https://www.gsmarena.com/parla_sonic_3_5s-7423.php
Minu P123,"Parla Minu P123 phone. Announced Sep 2014. Features 1.8″  display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-P123.jpg,https://www.gsmarena.com/parla_minu_p123-6826.php
Sonic 3.5,"Parla Sonic 3.5 Android smartphone. Announced Sep 2013. Features 3.5″  display, Spreadtrum SC7710G chipset, 2 MP primary camera, 1300 mAh battery, 512 MB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-3.5.jpg,https://www.gsmarena.com/parla_sonic_3_5-5855.php
Zum Bianco,"Parla Zum Bianco phone. Announced Sep 2013. Features 1.8″  display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-zum-bianco.jpg,https://www.gsmarena.com/parla_zum_bianco-5858.php
Minu,"Parla Minu phone. Announced Sep 2013. Features 1.8″  display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-minu.jpg,https://www.gsmarena.com/parla_minu-5854.php
Gala,"Parla Gala phone. Announced Jun 2012. Features 2.3″  display, 2 MP primary camera, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-gala-p730.jpg,https://www.gsmarena.com/parla_gala-5011.php
Spriz,"Parla Spriz phone. Announced Jun 2012. Features 2.0″  display, 2 MP primary camera, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-spriz-p430.jpg,https://www.gsmarena.com/parla_spriz-5013.php
Mist,"Parla Mist phone. Announced Jun 2012. Features 1.8″  display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-mist-p330.jpg,https://www.gsmarena.com/parla_mist-5012.php
Zum,"Parla Zum phone. Announced Jun 2012. Features 1.8″  display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg,https://www.gsmarena.com/parla_zum-5014.php
